,company,industry,sum,std
608,Nuro,Transportation,4200.0,0.0
609,Nutanix,Infrastructure,1100.0,
610,Nylas,Product,175.0,
611,Nyriad,Infrastructure,58.0,
612,OKCredit,Finance,85.0,
613,OYO,Travel,4000.0,
614,Oatly,Food,441.0,
615,Ocavu,Crypto,11.0,
616,Octopus Network,Crypto,8.0,
617,Oda,Food,1333.0,58.32095106677646
618,OfferUp,Retail,381.0,
619,Offerpad,Real Estate,355.0,
620,Okta,Security,1200.0,
621,Ola,Transportation,10000.0,0.0
622,Olist,Retail,322.0,
623,Olive,Healthcare,856.0,
624,On Deck,Education,40.0,0.0
625,OneFootball,Marketing,442.0,
626,OneStudyTeam,Healthcare,479.0,
627,OneTrust,Security,926.0,
628,OnlyFans,Media,0.0,
629,OpenSea,Crypto,427.0,
630,OpenWeb,Media,223.0,
631,Opendoor,Real Estate,1900.0,
632,OrCam,Healthcare,86.0,
633,Oracle,Other,0.0,0.0
634,Orbit,Other,20.0,
635,Orchard,Real Estate,944.0,0.0
636,Otonomo,Transportation,462.0,0.0
637,Ouster,Transportation,282.0,
638,Outbrain,Marketing,394.0,
639,Outreach,Sales,489.0,
640,Outschool,Education,480.0,0.0
641,Outside,Media,348.0,0.0
642,Owlet,Healthcare,178.0,
643,OwnBackup,Security,507.0,
644,Oye Rickshaw,Transportation,13.0,
645,PACT Pharma,Healthcare,200.0,
646,Pacaso,Real Estate,217.0,
647,Packable,Retail,472.0,
648,Papa,Other,241.0,
649,Parallel Wireless,Infrastructure,8.0,
650,Pastel,Food,0.0,
651,Patreon,Media,826.0,0.0
652,Pavilion Data,Infrastructure,103.0,
653,PayPal,Finance,216.0,
654,PayU,Finance,0.0,
655,Pear Therapeutics,Healthcare,818.0,0.0
656,Pear Therapeutics ,Healthcare,409.0,
657,PeerStreet,Finance,121.0,
658,Peloton,Fitness,5700.0,0.0
659,Pendo,Product,469.0,
660,People.ai,Sales,200.0,
661,Perceptive Automata,Transportation,20.0,
662,Perimeter 81,Security,165.0,
663,Perion,Marketing,76.0,
664,Permutive,Marketing,105.0,
665,Perx Health,Healthcare,2.0,
666,Pesto,Other,6.0,
667,Petal,Finance,704.0,
668,PharmEasy,Healthcare,3200.0,0.0
669,Philips,Healthcare,0.0,
670,Picsart,Consumer,195.0,
671,Pinterest,Consumer,1500.0,
672,Pipedrive,Sales,90.0,
673,Pipl,Security,19.0,
674,Pitch,Marketing,137.0,
675,Pix,Food,0.0,
676,Plaid,Finance,734.0,
677,Planetly,Other,5.0,
678,Plato,HR,3.0,
679,Playdots,Consumer,10.0,
680,Playtika,Consumer,0.0,0.0
681,Pleo,Finance,428.0,
682,Plerk,Finance,13.0,
683,Pliops,Data,205.0,
684,Plum,Healthcare,20.0,
685,Pluralsight,Education,192.0,
686,Podium,Support,419.0,
687,PolicyGenius,Finance,286.0,
688,Pollen,Marketing,238.0,
689,Pollen,Travel,238.0,
690,Polly,Finance,184.0,
691,Pomelo Fashion,Retail,120.0,
692,Postscript,Marketing,106.0,
693,Practically,Education,14.0,
694,Preply,Education,100.0,
695,Primer,Finance,73.0,
696,Productboard,Product,0.0,
697,Progrexion,Finance,202.0,
698,Project44,Logistics,817.0,
699,Properly,Real Estate,154.0,
700,Propzy,Real Estate,66.0,0.0
701,Protocol,Media,0.0,
702,Proton.ai,Sales,20.0,
703,Protonn,Other,9.0,
704,Provi,Food,150.0,
705,PuduTech,Other,184.0,
706,Puppet,Infrastructure,189.0,
707,Q4,Other,91.0,
708,Qin1,Education,0.0,
709,Qualcomm,Hardware,0.0,
710,Quanergy Systems,Transportation,175.0,
711,Quantcast,Marketing,65.0,
712,Quanterix,Healthcare,533.0,
713,Quanto,Finance,15.0,
714,Quicko,Transportation,28.0,
715,Quidax,Crypto,3.0,
716,QuintoAndar,Real Estate,755.0,
717,Qumulo,Data,347.0,
718,Rad Power Bikes,Transportation,658.0,0.0
719,Rain,Finance,202.0,
720,Rapyd,Finance,770.0,
721,Rasa,Data,40.0,
722,Reach,Retail,30.0,
723,RealSelf,Healthcare,42.0,
724,Reali,Real Estate,117.0,
725,Realtor.com,Real Estate,0.0,
726,Recharge,Finance,277.0,
727,Recur Forever,Crypto,55.0,
728,Redesign Health,Healthcare,315.0,
729,Redfin,Real Estate,639.0,0.7071067811865476
730,Reef,Transportation,1500.0,
731,Reforge,Education,81.0,
